Dataset,Nr. of Images,Nr. of pos. Labels grader 1,Nr. of neg. Labels grader 1,Nr. of pos. Labels grader 2,Nr. of neg. Labels grader 2,Overlap between G1 and G2,Overlap between G1 and GT,Overlap between G2 and GT,ratio1,ratio2
cirrus_1,128,23,105,24,104,0.690539896639,0.868422872157,0.771230325235,0.203580441682,0.238553682963
cirrus_2,128,25,103,27,101,0.886750540496,0.938994043472,0.940960920602,0.772583007812,0.712535999439
cirrus_3,200,139,61,118,82,0.761609443666,0.848300790206,0.881692878054,1.35879889838,1.49534891419
cirrus_4,128,10,118,13,115,0.649994016992,0.842170542636,0.740155334514,0.0712203979492,0.0678282517653
nidek_1,128,53,75,51,77,0.813285578915,0.878185829044,0.916700157497,1.1639433087,1.11898534438
nidek_2,128,41,87,42,86,0.818211962602,0.888447703236,0.911894120979,1.53671822897,1.43072945731
nidek_3,128,65,63,65,63,0.662161892272,0.781452062759,0.812654215076,0.455116858849,0.426436204177
spectralis_1,49,19,30,19,30,0.796758481868,0.929559641288,0.847955423345,0.911610316744,1.07552442567
spectralis_2,49,7,42,9,40,0.904571174264,0.960507662189,0.939513998943,0.433096468174,0.351334985439
spectralis_3,49,15,34,12,37,0.682123987989,0.825148973736,0.797380277435,0.838465536794,1.11021636635
spectralis_4,49,12,37,12,37,0.830645667315,0.932581895033,0.883711615487,0.248603410618,0.274362871724
topcon_1,128,66,62,67,61,0.68113591884,0.82415596215,0.796956781815,0.406789023712,0.423979150856
topcon_2,128,75,53,76,52,0.678470006335,0.842643844437,0.776902076614,1.17945503766,1.33413885946
topcon_3,128,61,67,57,71,0.851007627413,0.912766718616,0.926348428668,0.956577203158,0.996095685896
topcon_4,128,29,99,29,99,0.812689093666,0.911062300629,0.882719205896,0.533854166667,0.565337034872
